rank,name,lowercase,ssa_us_count,source
2266,Abri,abri,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2267,Aeon,aeon,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2268,Auda,auda,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2269,Desa,desa,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2270,Flem,flem,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2271,Soma,soma,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2272,Tria,tria,239,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2273,Ande,ande,238,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2274,Azya,azya,238,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2275,Enda,enda,238,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2276,Wake,wake,238,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2277,Amol,amol,237,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2278,Dorn,dorn,237,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2279,Oaks,oaks,237,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2280,Oanh,oanh,237,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2281,Anie,anie,236,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2282,Pema,pema,236,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2283,Teka,teka,236,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2284,Tita,tita,236,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2286,Inza,inza,235,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2287,Cuca,cuca,234,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2288,Kayl,kayl,234,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2289,Kell,kell,234,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2290,Ader,ader,233,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2291,Elad,elad,233,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2293,Jwan,jwan,233,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2294,Ludy,ludy,233,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2295,Miyu,miyu,233,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2296,Osei,osei,233,"U.S. SSA national baby-name data, 1880-2024 local mirror"
2297,Avid,avid,232,"U.S. SSA national baby-name data, 1880-2024 local mirror"
